aX,aY,aZ,gX,gY,gZ
0.113,0.049,0.983,0.549,0.427,-0.244
0.113,0.039,0.975,-0.488,1.404,-1.648
0.11,0.032,0.949,-0.183,0.916,-1.648
0.098,0.025,0.956,1.16,-1.282,-2.014
0.107,0.023,0.983,-0.122,-3.723,-1.892
0.109,0.013,1.002,-0.488,-4.883,-1.709
0.115,0.014,1.009,0.061,-4.272,-1.099
0.116,0.014,1.01,2.258,-2.991,-1.221
0.12,0.009,1.011,3.174,-1.526,-1.404
0.109,0.014,1,2.563,-0.122,-0.122
0.11,0.03,0.994,1.831,-0.122,0.366
0.109,0.033,1.001,2.502,-1.587,-0.61
0.116,0.03,1.01,2.808,-1.892,-1.16
0.115,0.027,1.009,1.953,-0.549,-0.732
0.115,0.029,0.998,1.831,0.427,-0.366
0.109,0.037,0.993,2.197,0.366,-0.793
0.113,0.044,0.998,1.892,0.244,-0.916
0.112,0.049,0.99,2.502,1.038,-1.282
0.108,0.055,0.982,2.197,1.526,-1.526
0.134,0.043,0.991,1.526,1.648,-3.845
0.112,0.031,0.989,-0.427,-0.305,-2.747
0.103,0.019,0.986,-0.427,-0.854,-2.625
-0.756,0.071,2.57,21.484,41.931,-16.663
-1.032,-0.022,3.125,29.602,66.04,-18.127
-1.554,-0.415,4,37.659,158.325,-12.817
-2.376,-0.632,4,23.926,293.884,15.442
-2.878,-0.481,3.768,-1.953,463.013,60.913
-2.837,-0.383,2.909,-38.879,560.059,79.834
-2.358,-0.385,2.333,-69.214,589.233,81.421
-1.866,-0.234,0.942,-129.333,628.54,92.957
-1.641,0.058,-0.2,-170.532,606.14,96.741
-1.459,0.223,-0.765,-185.974,527.344,61.035
-1.292,0.395,-1.267,-180.786,460.693,27.344
-1.167,0.363,-1.49,-155.518,442.749,1.953
-0.891,-0.011,-1.862,-107.727,428.833,11.475
-0.34,-0.232,-2.585,-139.954,382.263,13.916
-0.209,-0.147,-2.894,-157.898,332.947,12.39
0.063,-0.367,-2.844,-94.788,199.402,-15.808
0.42,-0.475,-2.694,-71.838,173.096,-19.104
0.66,-0.532,-2.46,-45.959,114.258,-1.282
0.712,-0.268,-2.056,-27.588,49.194,18.25
0.655,0.054,-1.453,3.113,-2.38,20.386
0.603,0.254,-0.775,35.889,-27.222,12.878
0.624,0.291,-0.345,44.434,-23.437,4.211
0.687,0.346,-0.298,33.997,-2.136,7.568
0.762,0.389,-0.453,22.522,11.475,12.207
0.785,0.402,-0.584,15.015,7.507,5.981
0.772,0.408,-0.622,12.817,-3.845,-3.418
0.782,0.356,-0.602,16.724,-10.254,-9.033
0.777,0.325,-0.586,20.386,-11.047,-6.47
0.803,0.318,-0.581,22.949,-10.742,-1.16
0.809,0.309,-0.569,23.804,-12.39,0.549
0.809,0.333,-0.541,20.142,-20.142,2.93
0.791,0.389,-0.446,14.587,-29.297,2.625
0.793,0.408,-0.334,13.977,-33.02,0.793
0.791,0.418,-0.245,16.174,-27.954,0.244
0.834,0.401,-0.217,17.212,-16.663,-2.014
0.868,0.369,-0.207,10.864,-14.404,-0.854
0.851,0.389,-0.239,3.967,-11.169,0.977
0.842,0.397,-0.268,3.113,-6.714,2.625
0.847,0.417,-0.305,2.136,-3.784,1.831
0.851,0.408,-0.322,4.028,-2.563,0.305
0.84,0.401,-0.323,4.456,-3.296,0.061
0.831,0.411,-0.354,2.869,-2.563,-0.854
0.838,0.408,-0.371,4.15,-0.488,-1.16
0.856,0.388,-0.377,6.287,0.244,-1.709
0.844,0.372,-0.361,2.991,-2.502,-3.235
0.841,0.366,-0.361,-1.709,-3.174,-4.822
0.842,0.371,-0.375,-1.953,-1.648,-2.991
0.837,0.38,-0.372,0.305,-0.549,-0.549
0.835,0.401,-0.381,1.648,-2.686,-1.77
0.839,0.377,-0.355,4.883,-3.967,-3.296
0.844,0.371,-0.339,3.784,-5.31,-4.15
0.834,0.38,-0.333,-0.061,-5.981,-3.906
0.836,0.382,-0.324,0.793,-2.991,-2.502
0.849,0.375,-0.32,1.709,0.305,-1.16
0.853,0.367,-0.311,1.038,0.244,-1.648
0.858,0.377,-0.319,-0.244,0,-2.808
0.857,0.378,-0.32,-0.366,-0.244,-2.808
0.853,0.38,-0.319,0.061,0.549,-2.502
0.846,0.384,-0.317,-0.061,0.793,-2.563
0.843,0.38,-0.313,-0.854,1.221,-2.441
0.849,0.369,-0.311,-2.197,1.587,-2.441
0.856,0.354,-0.323,-5.31,2.502,-1.77
0.854,0.359,-0.35,-7.446,1.648,-1.465
0.841,0.369,-0.366,-6.104,1.221,-0.977
0.833,0.387,-0.389,-3.54,0.854,-1.343
0.837,0.374,-0.365,1.465,0.305,-2.38
0.831,0.364,-0.354,-0.183,-1.831,-2.93
0.832,0.366,-0.358,-1.038,-1.221,-2.441
0.848,0.36,-0.367,-0.244,-1.038,-1.953
0.85,0.356,-0.355,0.549,-2.747,-1.526
0.851,0.357,-0.349,0.183,-3.906,-2.563
0.858,0.358,-0.349,0.488,-3.784,-2.136
0.871,0.362,-0.346,0.671,-4.333,-1.648
0.875,0.365,-0.345,-1.221,-6.348,-3.174
0.868,0.355,-0.335,-0.305,-6.958,-3.479
0.87,0.35,-0.324,-0.488,-6.042,-2.93
0.872,0.347,-0.32,-1.709,-4.944,-1.892
0.869,0.352,-0.317,-2.38,-3.54,-1.343
0.871,0.358,-0.319,-4.517,-3.601,-1.343
0.87,0.365,-0.318,-5.432,-4.272,-1.587
0.869,0.366,-0.319,-5.371,-4.272,-2.075
0.867,0.366,-0.319,-4.761,-3.784,-2.441
0.868,0.362,-0.318,-1.404,-1.892,-2.258
0.869,0.349,-0.305,-0.061,-0.732,-2.014
0.878,0.333,-0.304,-1.892,-0.427,-2.319
0.876,0.323,-0.304,-3.906,-0.732,-1.343
0.871,0.333,-0.315,-5.493,-0.366,-0.488
0.865,0.353,-0.324,-4.456,0.183,0.427
0.87,0.349,-0.321,-3.174,0,-0.427
0.866,0.357,-0.327,-4.028,-0.549,-1.038
0.863,0.369,-0.337,-1.465,0.671,-0.427
0.861,0.365,-0.325,1.343,1.343,-1.038
0.871,0.351,-0.32,-0.122,0.977,-2.014
0.874,0.353,-0.328,-1.404,0.427,-2.747
0.871,0.353,-0.325,0.061,0.793,-2.197
0.875,0.343,-0.329,-0.488,1.465,-2.319
0.874,0.345,-0.345,-0.061,1.587,-1.465
0.875,0.339,-0.341,1.282,1.099,-1.587
0.871,0.335,-0.343,0.183,0.122,-1.587
0.875,0.334,-0.348,-1.099,-1.526,-1.77
0.869,0.337,-0.342,-2.075,-2.686,-1.343
0.867,0.336,-0.341,-2.075,-2.808,-0.977
0.87,0.332,-0.336,-1.343,-2.319,-0.305
0.868,0.336,-0.338,-1.221,-2.93,0.122
0.865,0.346,-0.335,-0.61,-3.113,0
0.865,0.353,-0.332,0.854,-2.869,0.122
0.871,0.354,-0.329,1.465,-3.296,-0.977
0.874,0.349,-0.321,1.465,-3.662,-1.587
0.866,0.347,-0.316,1.953,-3.784,-1.892
0.874,0.338,-0.319,1.77,-3.845,-2.38
0.873,0.333,-0.314,-0.061,-4.456,-2.686
0.881,0.329,-0.322,-1.465,-3.784,-1.648
0.878,0.335,-0.321,-0.854,-3.906,-0.366
0.873,0.338,-0.315,-0.122,-4.272,-0.244
0.875,0.34,-0.313,0.916,-3.784,-0.183
0.879,0.34,-0.312,1.709,-3.357,0.366
0.875,0.336,-0.31,1.282,-3.662,0.305
0.872,0.343,-0.311,0.061,-4.456,-0.488
0.88,0.348,-0.322,-0.305,-4.639,-0.793
-0.949,0.167,2.888,6.042,16.296,2.075
-1.771,0.148,4,-3.967,83.313,-7.019
-2.277,-0.161,4,6.531,250.671,-2.991
-2.439,-0.503,4,-32.959,459.717,15.991
-2.337,-0.495,3.906,-145.081,579.407,31.616
-1.916,-0.205,2.035,-179.077,612.915,36.804
-1.445,-0.09,0.686,-164.307,637.817,46.448
-1.126,-0.247,-0.033,-168.762,610.168,49.622
-1.09,-0.231,-0.616,-236.145,525.513,44.006
-1.124,0.052,-1.525,-268.86,464.783,29.48
-0.743,0.118,-2.012,-179.443,424.927,7.263
-0.589,0.008,-1.937,-110.84,350.525,-23.987
-0.345,-0.249,-1.801,-111.45,308.35,-38.086
-0.18,-0.324,-1.708,-112.305,249.023,-49.072
-0.015,-0.423,-1.686,-93.018,213.623,-39.551
0.273,-0.501,-1.676,-71.838,190.735,-29.907
0.423,-0.537,-1.664,-64.087,149.902,-9.033
0.431,-0.391,-1.661,-59.57,109.802,7.324
0.427,-0.218,-1.583,-43.64,78.247,17.395
0.434,-0.025,-1.393,-25.696,48.218,23.621
0.429,0.198,-1.179,-11.658,26.062,24.048
0.488,0.317,-0.93,2.686,13.123,18.494
0.563,0.35,-0.743,4.211,3.845,11.841
0.591,0.379,-0.675,-3.784,-2.563,7.08
0.646,0.359,-0.669,-6.653,-3.479,2.625
0.667,0.311,-0.666,-2.502,-2.075,-0.854
0.686,0.274,-0.682,0.244,-2.014,-2.747
0.677,0.273,-0.699,2.869,-0.977,-3.174
0.691,0.285,-0.693,5.615,-1.221,-3.174
0.694,0.287,-0.702,5.432,-0.488,-2.991
0.671,0.346,-0.728,3.784,-2.136,-2.502
0.664,0.363,-0.738,5.249,-2.686,-3.235
0.659,0.375,-0.725,10.254,-3.723,-4.211
0.68,0.369,-0.724,9.888,-5.31,-5.432
0.682,0.352,-0.69,9.094,-9.827,-7.935
0.679,0.344,-0.653,8.24,-11.902,-9.155
0.716,0.305,-0.631,5.127,-11.902,-9.888
0.727,0.282,-0.609,4.944,-11.292,-7.019
0.727,0.284,-0.605,4.211,-8.667,-4.883
0.743,0.286,-0.599,5.188,-5.371,-0.793
0.716,0.321,-0.601,3.479,-5.554,-0.183
0.703,0.354,-0.599,3.906,-4.028,-0.61
0.685,0.366,-0.602,3.784,-2.747,-2.319
0.695,0.352,-0.592,6.287,-0.427,-2.93
0.713,0.324,-0.6,4.944,-0.061,-3.296
0.723,0.309,-0.611,1.648,-2.38,-2.686
0.728,0.305,-0.62,-0.244,-5.066,-2.014
0.734,0.304,-0.621,-1.526,-8.179,-0.61
0.74,0.31,-0.624,-2.502,-10.437,-0.488
0.755,0.303,-0.64,-3.479,-14.832,-1.099
0.763,0.293,-0.643,-3.723,-20.508,0.854
0.666,0.342,-0.608,-2.747,-22.217,0
0.678,0.358,-0.613,3.174,-15.32,-4.089
0.715,0.333,-0.588,10.498,-11.536,-7.324
0.74,0.302,-0.561,9.521,-10.559,-8.057
0.761,0.29,-0.552,5.31,-10.559,-5.981
0.766,0.291,-0.553,3.052,-10.864,-4.761
0.771,0.288,-0.553,0.916,-11.292,-2.136
0.763,0.276,-0.528,0.977,-10.864,0.122
0.759,0.276,-0.523,-0.854,-7.935,1.892
0.748,0.293,-0.528,-0.427,-3.357,3.906
0.751,0.302,-0.542,2.014,0.183,4.883
0.766,0.329,-0.569,4.089,-15.381,4.7
0.749,0.333,-0.553,8.301,-2.197,3.967
0.702,0.453,-0.517,5.798,-1.709,1.831
0.747,0.311,-0.58,0.305,1.038,-1.648
0.746,0.336,-0.558,-1.099,3.845,0.427
0.743,0.338,-0.58,-2.258,5.249,0.122
0.753,0.309,-0.575,-0.244,3.052,-0.854
0.753,0.304,-0.578,-1.587,1.465,-0.366
0.752,0.312,-0.588,-1.221,-0.061,-0.549
0.752,0.309,-0.572,1.465,-0.854,-0.427
0.761,0.296,-0.567,1.465,-0.977,-0.488
0.751,0.283,-0.557,0.305,-0.61,1.404
0.755,0.301,-0.583,-0.244,-0.183,2.563
0.737,0.31,-0.566,0.793,-0.977,2.136
0.747,0.308,-0.577,0.061,0.061,1.343
0.749,0.316,-0.581,1.16,-0.305,1.038
0.749,0.325,-0.569,2.991,-2.136,-0.671
0.755,0.319,-0.546,4.089,-3.052,-1.587
0.755,0.32,-0.541,2.93,-3.357,-1.953
0.751,0.335,-0.548,1.404,-3.357,-1.221
0.742,0.351,-0.551,1.892,-2.991,-1.648
0.746,0.356,-0.547,3.296,-2.075,-2.38
0.769,0.345,-0.543,4.7,-1.831,-3.723
0.775,0.325,-0.528,4.211,-2.869,-4.272
0.773,0.319,-0.521,3.235,-3.113,-4.211
0.775,0.311,-0.524,0.61,-2.258,-2.747
0.777,0.312,-0.539,-0.488,-0.61,-1.038
0.777,0.314,-0.545,-1.343,-0.732,-0.732
0.776,0.316,-0.55,-1.648,-0.977,-0.854
0.766,0.315,-0.546,-0.854,-0.854,-0.122
0.774,0.305,-0.542,-1.465,-1.221,0.244
0.77,0.309,-0.542,-4.211,-2.747,1.282
0.752,0.339,-0.553,-5.371,-1.16,0.488
0.76,0.341,-0.558,1.343,0.61,0.183
0.76,0.334,-0.544,2.075,0,-0.183
0.755,0.341,-0.547,0,-0.671,-0.793
0.762,0.34,-0.546,0.427,-0.122,-1.587
0.766,0.33,-0.536,0.183,-0.427,-1.892
0.759,0.324,-0.536,-1.343,-0.916,-2.319
0.758,0.324,-0.537,-1.038,-0.183,-2.747
0.771,0.313,-0.542,-0.122,1.16,-2.869
0.771,0.31,-0.535,-0.549,0.183,-2.319
0.768,0.304,-0.532,-1.709,0,-2.136
0.771,0.295,-0.536,-2.869,0.549,-1.648
0.772,0.296,-0.548,-4.517,0.244,-1.038
0.769,0.299,-0.563,-4.761,-0.183,-0.488
0.772,0.297,-0.565,-2.93,-0.183,0.183
0.766,0.299,-0.566,-2.258,-0.977,0.549
0.761,0.308,-0.551,-1.038,-1.465,0.854
0.759,0.318,-0.543,-0.366,-1.038,0.793
0.764,0.327,-0.539,0.732,-0.61,0.793
0.768,0.331,-0.537,0.671,-0.916,0.305
0.767,0.33,-0.532,0.366,-1.221,-0.916
0.769,0.321,-0.524,0.183,-1.587,-0.916
0.771,0.313,-0.521,-1.038,-1.099,-0.854
0.773,0.309,-0.524,-2.441,0.122,-0.671
0.782,0.296,-0.528,-2.991,0.061,-0.183
-0.794,0.065,3.112,-40.527,-12.329,-0.122
-1.781,0.129,4,-84.045,40.71,-8.85
-2.17,0.091,4,-97.168,255.737,-4.028
-1.96,-0.249,4,-32.776,498.23,20.447
-1.838,-0.34,3.298,-59.631,624.817,63.232
-1.627,-0.288,1.736,-132.996,657.776,73.242
-1.358,-0.324,0.341,-191.101,650.269,81.177
-1.311,-0.294,-0.635,-239.746,585.449,92.224
-1.291,-0.066,-1.158,-259.949,537.842,87.769
-1.067,0.167,-2.098,-238.342,449.219,56.824
-0.739,0.075,-2.215,-154.846,357.3,1.709
-0.459,-0.137,-2.038,-109.009,278.625,-34.607
-0.255,-0.289,-1.878,-89.844,225.403,-42.236
-0.025,-0.323,-1.873,-77.148,195.374,-28.381
0.076,-0.296,-1.89,-70.801,181.824,-16.846
0.266,-0.235,-1.839,-47.485,122.375,5.249
0.344,-0.131,-1.727,-40.771,67.871,14.771
0.386,0.083,-1.347,-15.137,45.105,21.912
0.424,0.248,-1.092,-6.287,22.644,24.475
0.458,0.411,-0.896,0.549,9.277,23.132
0.506,0.505,-0.697,11.963,1.465,15.747
0.578,0.487,-0.517,15.564,-2.808,5.066
0.632,0.476,-0.438,9.888,-2.93,0.366
0.651,0.481,-0.419,3.54,-1.099,1.099
0.662,0.486,-0.452,0.183,2.258,-0.854
0.679,0.476,-0.498,1.343,5.066,-3.906
0.699,0.428,-0.509,3.174,6.897,-7.568
0.725,0.377,-0.516,-1.404,5.92,-8.057
0.701,0.404,-0.543,-9.521,4.822,-4.456
0.678,0.445,-0.566,-9.216,7.69,-3.418
0.66,0.46,-0.55,-4.272,10.864,-3.723
0.654,0.474,-0.555,-3.052,13.062,-3.723
0.66,0.471,-0.568,-0.977,16.846,-4.7
0.681,0.431,-0.596,-6.287,15.503,-5.371
0.677,0.414,-0.616,-10.62,11.902,-4.578
0.667,0.418,-0.646,-12.634,9.277,-4.211
