aX,aY,aZ,gX,gY,gZ
2.879,-0.283,-0.09,-5.127,-45.776,-1.221
3.468,-0.372,0.041,-39.001,-91.003,-1.77
3.477,-0.305,0.289,-55.786,-108.154,-11.292
3.162,-0.106,0.8,-55.725,-100.586,-24.17
2.25,0.214,0.923,-57.007,-59.021,-51.147
0.877,0.547,0.746,-74.585,-27.039,-71.655
-0.449,0.844,0.424,-99.915,-32.959,-87.646
-1.759,0.916,0.506,-94.055,-69.458,-112.183
-2.176,0.709,0.974,-79.224,-104.797,-140.808
-2.381,0.269,1.245,-68.42,-105.469,-139.282
-2.362,0.125,1.549,-38.269,-57.312,-95.093
-2.363,0.336,1.47,1.953,-6.531,-42.114
-2.052,0.185,1.356,1.831,-25.024,-21.179
-1.245,-0.196,1.411,-22.095,-78.979,-23.987
-0.562,-0.429,1.429,-2.502,-48.096,-12.634
-0.268,-0.2,1.307,9.949,5.005,17.334
-0.233,0.009,1.235,11.23,27.649,30.09
-0.223,0.329,0.961,0.305,47.791,36.194
-0.075,0.347,0.812,-26.123,21.362,21.057
0.057,0.246,0.906,-32.166,-1.038,10.01
0.106,0.217,0.992,-26.306,-4.639,5.798
0.093,0.158,1.135,-12.207,-2.869,4.883
0.061,0.04,1.177,1.16,8.545,3.723
0.005,-0.017,1.119,11.292,20.752,8.911
-0.039,0.01,1.043,16.296,23.804,11.353
-0.068,0.042,0.909,25.696,15.442,8.606
0.012,0.055,0.987,27.222,-5.249,5.31
0.087,0.078,1.089,16.479,-6.104,6.836
0.112,0.071,1.129,10.132,-1.343,7.507
0.111,0.053,1.144,0.977,7.996,9.338
0.129,0.063,1.089,3.174,17.456,10.071
0.064,0.119,1.029,9.094,14.404,4.883
0.065,0.103,1.021,10.62,9.094,-1.221
0.084,0.047,1.009,7.812,-1.404,-7.202
0.095,0.003,1.012,6.409,-3.967,-8.118
0.087,-0.022,1.032,3.479,-2.319,-7.69
0.078,-0.038,1.039,-1.099,0.977,-4.944
0.059,-0.054,1.035,-1.526,2.563,-3.479
0.031,-0.048,1.026,1.404,5.31,-2.808
0.038,-0.063,1.01,2.258,4.517,-3.784
0.055,-0.052,1.006,0.061,3.113,-0.549
0.079,-0.032,1.027,-0.671,0.732,1.709
0.099,-0.015,1.038,-0.61,0.793,2.563
0.129,0.011,1.05,2.808,4.7,4.089
0.117,0.02,1.036,7.507,8.301,2.991
0.086,0.02,1.026,6.775,9.766,1.892
0.085,0.012,1.021,4.395,8.24,0.793
0.078,-0.027,1.014,2.747,4.761,-1.282
0.085,-0.047,1.01,3.662,2.563,-1.587
0.098,-0.042,0.995,4.15,2.869,0.427
0.091,-0.033,0.991,4.15,3.113,1.892
0.087,-0.018,0.984,3.479,2.014,3.235
0.089,-0.003,0.977,3.174,1.526,2.686
0.102,0.006,0.969,1.587,2.136,1.099
0.099,0.01,0.96,-0.305,2.625,0.732
0.092,0.005,0.943,-3.296,2.319,1.282
0.097,-0.007,0.945,-2.136,-0.122,1.038
0.119,0.007,0.985,2.258,-1.709,0.305
0.117,0.012,1.001,3.052,-1.587,-0.183
0.112,-0.017,1,2.136,0.549,-2.014
0.097,-0.041,1.005,3.174,0.122,-1.892
0.109,-0.045,1.021,5.798,-1.404,-0.305
0.122,-0.006,1.025,9.583,-0.916,0.671
0.122,0.009,1.021,10.498,-0.977,0.183
0.114,0.003,1.012,8.972,-2.686,-2.441
0.131,-0.019,1.021,5.371,-3.296,-2.991
0.129,0,1.026,2.441,-1.709,-1.892
0.133,0,1.028,1.221,-1.648,-3.113
0.131,-0.004,1.033,0.732,-1.465,-3.54
0.123,-0.02,1.05,0.366,-1.465,-3.967
0.117,-0.034,1.063,2.808,0.061,-4.15
0.095,-0.046,1.047,5.676,2.075,-4.578
0.076,-0.072,1.017,5.493,2.686,-4.456
0.079,-0.073,1.02,3.845,1.831,-2.686
0.096,-0.071,1.036,-0.488,1.465,-1.77
0.113,-0.056,1.037,-2.563,3.357,0.488
0.106,-0.048,1.007,-0.61,4.761,0.732
0.111,-0.048,0.992,2.319,3.845,-0.549
0.111,-0.047,0.992,1.77,1.709,-0.122
0.121,-0.037,0.998,-0.122,0.793,-0.183
0.112,-0.037,1.008,1.282,-1.038,-1.892
0.118,-0.06,1.013,3.845,-1.892,-2.869
0.116,-0.046,1.028,4.333,-1.831,-1.953
0.124,-0.029,1.03,0.916,0.366,-1.038
0.12,-0.03,1.016,0.183,2.808,-1.099
0.104,-0.042,0.99,2.686,2.258,-1.465
0.09,-0.055,0.971,7.507,-0.183,-1.587
0.099,-0.045,0.981,11.23,-2.991,-1.465
0.117,-0.031,1.006,8.301,-2.502,-1.404
0.123,-0.035,1.001,1.038,1.526,-0.488
0.111,-0.043,0.992,-0.977,3.54,-0.244
0.1,-0.053,0.97,-0.732,4.211,0.183
0.099,-0.044,0.964,2.197,2.014,-0.305
0.101,-0.039,0.981,1.709,-0.916,-0.977
0.101,-0.039,0.991,0.61,-2.441,-0.916
0.107,-0.056,1,-1.038,-3.662,-1.892
0.111,-0.063,1.012,-1.099,-3.418,-1.709
0.116,-0.044,1.013,-0.244,-1.343,-1.404
0.107,-0.04,1.005,0.061,-0.977,-2.014
0.101,-0.055,1.008,0.549,-1.587,-2.747
0.104,-0.064,1.014,0.244,-1.831,-1.709
0.098,-0.062,1.022,-0.793,-2.014,-0.549
0.091,-0.064,1.029,-0.732,-2.075,-0.427
0.091,-0.072,1.028,0.61,-1.77,-0.183
0.099,-0.057,1.021,1.831,-1.221,0.183
0.102,-0.039,1.015,5.005,-0.61,0
0.096,-0.036,1.008,4.211,0.122,-0.671
0.092,-0.053,1,1.404,-0.305,-0.549
0.091,-0.055,1.001,1.282,-1.892,-0.366
0.097,-0.06,1.011,3.113,-2.869,-0.916
0.101,-0.047,1.02,3.479,-2.258,-0.122
0.105,-0.037,1.018,3.052,-2.258,-0.366
0.101,-0.033,1.017,4.089,-2.38,-1.709
0.094,-0.037,1.019,3.357,-1.77,-2.686
0.092,-0.054,1.02,1.77,-1.465,-2.625
0.093,-0.057,1.028,0.061,-0.549,-1.282
0.092,-0.055,1.021,0.549,0.488,-1.221
0.083,-0.046,1.017,2.563,0.061,-1.587
0.089,-0.054,1.017,2.319,0,-2.625
1.553,-0.663,0.414,-33.569,-55.359,-32.715
1.932,-0.611,0.314,-41.565,-57.983,-33.569
2.494,-0.776,0.112,-74.219,-50.049,-63.843
2.759,-0.942,-0.085,-132.629,-40.894,-95.581
2.716,-0.969,-0.229,-184.021,-23.56,-109.07
2.486,-0.786,-0.385,-221.069,-0.854,-97.595
1.714,-0.186,-0.441,-243.53,-4.639,-83.008
0.598,0.557,-0.273,-264.526,-28.87,-101.257
-0.537,0.917,-0.02,-323.059,-47.058,-121.277
-1.724,1.243,0.304,-378.357,-62.805,-88.745
-2.532,1.397,0.796,-342.346,-79.102,-40.527
-2.799,1.401,1.536,-224.426,-116.089,32.471
-2.548,1.43,2.285,-130.371,-161.804,115.54
-1.604,0.982,2.828,-59.448,-149.902,106.628
-0.383,-0.353,2.745,-4.456,-46.57,31.494
-0.14,-0.926,2.24,-13.062,6.104,-20.63
-0.231,-0.176,0.416,-24.475,30.884,23.682
-0.369,0.358,0.152,-11.23,38.086,74.951
-0.122,0.873,0.55,35.828,15.747,64.819
0.13,0.702,0.966,31.799,-31.189,10.498
0.145,0.308,1.106,9.399,-17.456,-20.081
-0.054,0.138,1.094,5.005,6.958,-18.188
-0.156,-0.085,1.071,13.489,11.658,-15.259
-0.126,-0.173,0.959,27.588,11.841,-6.592
-0.139,-0.061,0.894,46.753,7.629,3.784
-0.11,0.061,0.969,50.659,-2.136,7.629
-0.029,0.102,1.009,45.715,-5.127,8.545
0.085,0.142,1.054,33.203,2.136,10.254
0.163,0.227,1.029,24.292,11.23,14.099
0.182,0.308,1.041,22.888,15.442,12.268
0.174,0.318,1.019,17.761,15.381,4.944
0.169,0.284,1.007,13.184,14.648,1.404
0.175,0.222,0.987,6.836,10.742,-3.174
0.159,0.177,1.002,8.423,1.709,-7.019
0.14,0.099,1.073,9.277,-2.93,-11.719
0.116,0.004,1.044,2.808,0.549,-10.864
