aX,aY,aZ,gX,gY,gZ
1.388,1.268,0.426,-12.756,49.622,41.748
1.484,1.498,0.46,-35.4,67.505,11.108
1.517,1.574,0.394,-62.927,96.619,-84.412
1.362,1.301,0.311,-52.979,109.558,-184.265
1.231,1.035,0.314,-41.809,120.85,-249.329
0.987,0.42,0.22,-36.255,130.615,-256.775
0.543,-0.195,0.006,-56.885,149.048,-234.192
-0.074,-1.123,-0.427,-110.84,147.644,-187.5
-0.416,-1.703,-0.692,-146.423,126.709,-153.992
-0.654,-2.825,-1.264,-192.078,47.729,-57.983
-0.644,-3.221,-1.284,-150.024,-41.931,78.979
-0.498,-2.567,-0.76,-25.208,-83.313,173.889
-0.301,-2.095,-0.488,40.894,-94.177,196.594
0.198,-1.104,-0.083,137.207,-112.183,236.755
0.672,0.282,0.493,155.518,-119.019,296.692
0.876,1.067,0.834,134.766,-106.079,308.35
1.569,2.451,1.094,32.043,-37.292,249.207
2.071,3.171,0.811,-24.475,35.522,107.483
2.166,3.289,0.609,-14.099,58.594,18.25
2.109,2.919,0.415,25.757,87.83,-156.311
1.939,2.488,0.344,23.743,100.769,-250.61
1.365,1.496,0.225,-32.776,124.634,-264.16
0.611,0.426,0.04,-100.708,134.338,-263.062
0.26,-0.198,-0.047,-131.226,104.126,-248.169
-0.563,-1.686,-0.501,-138.611,85.266,-227.783
-0.733,-3.43,-1.036,-151.55,49.133,-109.07
-0.721,-3.811,-1.073,-137.268,-38.696,72.144
-0.658,-3.5,-0.816,-91.003,-66.406,180.115
-0.335,-2.447,-0.338,42.847,-68.298,201.721
0.049,-1.276,0.039,128.357,-87.769,241.516
0.628,0.142,0.495,131.836,-96.619,276.855
0.906,0.915,0.701,114.38,-83.557,283.691
1.536,2.225,0.879,58.899,-25.513,242.065
1.821,2.749,0.804,31.433,7.568,190.552
2.116,3.266,0.486,6.409,66.467,47.668
2.133,3.246,0.311,5.066,103.027,-97.9
1.844,2.771,0.123,-7.935,112.244,-158.264
1.227,1.771,0.006,-62.256,120.789,-245.544
0.882,1.222,-0.022,-83.252,119.995,-296.204
0.128,-0.061,-0.06,-92.773,114.441,-312.195
-0.764,-1.726,-0.344,-102.173,93.811,-296.936
-0.987,-3.586,-1.076,-126.648,75.439,-157.898
-1.006,-4,-1.286,-130.981,38.513,-43.152
-1.049,-3.724,-1.143,-79.224,-45.898,140.381
-0.592,-2.503,-0.57,54.382,-89.478,207.825
-0.135,-1.256,-0.077,144.653,-133.179,246.643
0.181,-0.599,0.172,158.447,-145.752,267.212
0.75,0.865,0.689,134.888,-137.268,313.721
1.02,1.622,0.932,62.012,-72.51,284.607
1.711,2.828,0.835,30.457,-31.799,232.239
2.137,3.377,0.474,14.893,31.982,89.478
2.17,3.448,0.307,17.822,51.025,13.672
1.981,2.985,0.126,-3.54,72.998,-124.451
1.424,2.021,0.07,-59.692,74.646,-216.553
1.197,1.473,0.121,-98.511,71.96,-269.287
0.422,0.272,0.148,-106.323,72.632,-284.424
-0.501,-1.311,-0.127,-101.257,94.666,-293.945
-0.82,-3.357,-0.84,-83.496,93.689,-230.225
-0.745,-3.999,-1.124,-74.768,63.904,-141.418
-0.711,-3.723,-0.934,-45.593,-10.681,82.52
-0.512,-2.63,-0.569,36.194,-69.214,202.332
-0.321,-1.986,-0.351,125.488,-101.074,238.281
0.204,-0.597,0.088,151.184,-108.276,249.573
0.773,0.853,0.522,143.311,-104.37,260.315
1.065,1.472,0.642,115.356,-88.196,248.962
1.625,2.384,0.606,56.152,-40.771,177.856
1.895,2.692,0.335,41.87,1.465,57.495
1.929,2.654,0.219,45.715,14.709,-5.676
1.776,2.221,0.124,34.546,31.067,-109.314
1.61,1.883,0.098,10.986,37.903,-143.921
1.189,1.112,0.031,-44.067,48.828,-185.486
0.776,0.352,-0.013,-76.172,55.237,-203.857
0.413,-0.307,-0.114,-87.769,54.871,-201.538
0.272,-0.621,-0.191,-89.172,55.542,-193.787
0.073,-1.214,-0.419,-89.661,53.04,-160.522
0.078,-1.672,-0.587,-86.853,31.067,-101.44
0.183,-1.707,-0.657,-70.007,-3.906,-28.931
0.243,-1.57,-0.602,-48.462,-20.325,2.075
0.378,-1.196,-0.411,-2.808,-48.218,45.593
0.587,-0.818,-0.222,21.484,-66.772,73.12
0.701,-0.647,-0.153,26.245,-70.74,92.651
0.894,-0.343,-0.088,26.489,-68.237,98.755
1.008,-0.11,-0.054,32.776,-60.242,97.961
1.056,0.03,-0.049,42.847,-51.819,82.214
1.1,0.074,-0.045,47.119,-47.18,72.754
1.125,0.138,-0.065,46.143,-43.945,57.129
1.13,0.15,-0.059,42.786,-40.405,46.509
1.139,0.179,-0.043,31.189,-34.424,41.626
1.139,0.181,-0.035,23.193,-29.907,31.433
1.13,0.173,-0.021,22.278,-27.527,25.513
1.115,0.164,-0.005,21.973,-19.714,11.719
1.096,0.135,-0.012,23.499,-8.362,-2.747
1.089,0.115,-0.024,23.315,-3.662,-8.362
1.064,0.06,-0.061,22.034,4.15,-16.663
1.041,-0.014,-0.096,18.188,7.568,-17.578
1.02,-0.028,-0.113,15.564,6.042,-17.212
1.029,-0.062,-0.111,14.893,6.409,-16.724
1.031,-0.081,-0.112,12.268,0.427,-11.475
1.024,-0.086,-0.091,6.531,-4.639,-2.563
1.019,-0.076,-0.08,1.404,-6.287,3.235
1.002,-0.061,-0.08,-6.958,-7.202,11.475
0.988,-0.054,-0.07,-8.179,-5.615,12.756
0.982,-0.047,-0.067,-5.615,-3.54,8.606
0.971,-0.061,-0.066,-3.479,-2.991,5.554
0.981,-0.071,-0.067,0.488,-2.869,0.244
0.976,-0.08,-0.053,1.77,-1.892,-2.625
0.98,-0.09,-0.057,0.671,-0.305,-3.418
0.99,-0.116,-0.069,0.244,1.709,-4.822
0.992,-0.129,-0.068,3.113,2.197,-5.432
0.995,-0.133,-0.069,3.54,2.38,-5.005
0.997,-0.131,-0.072,4.028,3.296,-3.601
0.998,-0.114,-0.079,4.822,3.906,-1.587
0.997,-0.105,-0.085,6.714,3.54,-0.183
0.995,-0.094,-0.085,7.08,2.808,0.427
0.997,-0.082,-0.085,3.601,2.136,2.808
0.991,-0.075,-0.095,2.563,2.075,3.662
0.994,-0.065,-0.108,4.639,1.587,2.502
0.993,-0.058,-0.11,4.639,0.977,1.648
0.994,-0.055,-0.113,3.845,0.366,1.648
1.556,1.698,0.484,-42.053,32.288,107.666
1.563,2.117,0.564,-84.717,56.458,70.435
1.477,2.07,0.311,-122.803,91.553,-85.327
1.176,1.475,0.19,-40.71,92.346,-235.291
0.99,1.112,0.198,-4.639,87.524,-284.119
0.527,0.207,0.19,5.188,90.515,-318.42
-0.257,-1.149,-0.209,-57.678,100.342,-283.203
-0.532,-2.02,-0.593,-139.954,68.481,-169.983
-0.675,-3.53,-1.303,-171.631,25.33,-68.604
-0.796,-3.854,-1.226,-144.653,-43.396,128.296
-0.542,-2.828,-0.596,2.747,-85.022,220.52
-0.344,-2.27,-0.331,81.543,-95.947,243.286
0.183,-0.959,0.198,191.467,-104.004,278.198
0.705,1.232,0.831,191.467,-101.379,312.073
1.029,2.297,1.161,136.841,-76.172,314.148
1.796,3.44,1.052,-22.827,1.587,210.51
2.082,3.811,0.639,-36.255,53.589,19.958
2.087,3.688,0.519,1.16,70.374,-84.412
1.767,2.851,0.41,33.691,104.98,-240.173
1.421,2.258,0.293,12.817,122.803,-279.114
0.656,0.945,0.105,-54.688,147.888,-308.35
-0.166,-0.638,-0.259,-102.722,128.967,-322.144
-0.754,-2.536,-0.772,-122.681,76.172,-257.568
-0.829,-3.449,-1.053,-140.381,48.157,-167.969
-0.746,-4,-0.997,-145.691,-34.729,59.204
-0.588,-3.275,-0.704,-43.701,-60.12,182.251
-0.233,-1.995,-0.173,120.117,-75.012,236.572
0.034,-1.275,0.063,158.875,-88.501,254.028
0.612,0.459,0.56,160.156,-101.868,286.011
1.275,2.133,0.94,81.787,-63.232,278.076
1.649,2.723,0.903,34.607,-27.222,237.183
2.105,3.393,0.608,0.244,32.349,100.098
2.168,3.522,0.473,8.606,58.472,21.729
1.956,3.138,0.263,8.545,95.886,-124.329
1.412,2.134,0.09,-39.063,116.943,-221.985
1.048,1.557,0.013,-86.426,111.755,-273.437
0.133,0.184,-0.116,-98.328,106.323,-295.105
-0.576,-1.784,-0.328,-98.511,91.431,-314.148
-0.806,-3.719,-1,-110.901,52.246,-187.561
-0.854,-4,-1.125,-114.685,20.874,69.214
-0.876,-3.964,-0.992,-76.172,-34.668,159.424
-0.47,-2.512,-0.507,60.12,-66.956,233.765
0.022,-0.954,0.041,161.621,-104.431,268.555
0.33,-0.066,0.305,171.57,-113.342,284.302
0.983,1.738,0.768,126.282,-91.431,294.678
1.357,2.479,0.748,37.537,-25.513,225.403
1.978,3.447,0.584,14.526,5.92,159.668
2.125,3.781,0.296,10.193,49.316,3.906
2.047,3.544,0.171,0.977,64.209,-155.273
1.521,2.563,0,-38.025,75.745,-200.073
0.826,1.295,0.017,-84.351,61.34,-270.447
0.409,0.567,0.026,-103.699,53.162,-291.016
-0.476,-1.318,-0.116,-119.934,58.35,-303.284
-0.825,-3.551,-0.765,-105.713,65.43,-230.835
-0.691,-4,-1.007,-92.407,44.067,-139.465
-0.673,-3.91,-0.852,-46.387,-14.587,87.646
-0.4,-2.622,-0.49,41.016,-62.683,214.783
0.094,-1.053,-0.059,137.024,-92.346,256.348
0.424,-0.197,0.197,162.781,-96.619,277.1
1.058,1.675,0.679,138.489,-81.665,272.705
1.731,2.929,0.663,47.546,-32.532,194.092
1.977,3.245,0.536,20.569,-10.132,122.192
2.111,3.386,0.325,19.226,24.841,-45.593
2.027,3.101,0.242,-1.343,53.955,-177.734
1.516,2.135,0.1,-30.64,64.087,-215.332
0.817,0.997,0.002,-93.262,71.838,-255.31
0.103,-0.311,-0.127,-120.789,63.843,-271.118
-0.213,-1.071,-0.224,-124.39,57.129,-265.686
-0.456,-2.55,-0.598,-119.385,44.8,-197.327
-0.326,-3.178,-0.854,-96.985,12.085,-47.668
-0.149,-2.604,-0.672,-41.199,-15.869,70.496
0.006,-2.112,-0.49,13.428,-28.625,105.591
0.317,-1.177,-0.131,84.778,-57.373,149.963
0.71,-0.148,0.119,98.389,-70.19,162.842
0.913,0.254,0.211,84.656,-58.105,156.616
1.208,0.779,0.279,77.393,-49.5,142.212
1.383,1.065,0.224,69.214,-25.146,96.68
1.396,1.116,0.162,65.796,-14.038,68.176
1.415,1.014,0.021,53.711,1.953,9.399
1.316,0.767,-0.105,34.729,11.169,-30.64
1.251,0.647,-0.158,23.865,10.132,-41.016
1.105,0.405,-0.204,4.089,14.404,-51.453
1.042,0.289,-0.239,-12.329,13.123,-61.035
0.938,0.044,-0.254,-17.334,11.292,-63.416
0.86,-0.157,-0.283,-20.508,7.324,-59.692
0.853,-0.284,-0.265,-17.7,6.104,-48.828
0.84,-0.311,-0.256,-17.395,4.15,-41.26
0.842,-0.323,-0.245,-16.357,1.709,-26.672
0.87,-0.313,-0.252,-14.404,-3.052,-16.907
0.894,-0.31,-0.25,-10.986,-10.925,-7.996
0.94,-0.287,-0.23,-10.803,-13.672,-3.174
0.969,-0.266,-0.214,-11.841,-14.771,6.042
0.996,-0.233,-0.205,-9.399,-9.766,12.024
0.999,-0.218,-0.212,-6.531,-6.287,12.085
1.002,-0.181,-0.221,1.831,-5.432,10.01
1.002,-0.157,-0.201,8.179,-4.089,7.019
0.99,-0.135,-0.205,7.751,-1.77,7.507
0.993,-0.111,-0.206,8.606,-0.549,5.981
0.975,-0.081,-0.211,14.648,-0.793,1.221
0.971,-0.063,-0.202,22.4,-4.089,-5.798
0.972,-0.078,-0.185,23.682,-4.944,-7.751
0.968,-0.095,-0.176,13.123,-3.601,-5.493
0.972,-0.115,-0.178,1.526,-0.549,-1.038
0.964,-0.123,-0.185,-1.404,-0.305,1.709
0.973,-0.125,-0.184,15.442,-1.77,1.038
0.976,-0.12,-0.179,1.892,-2.747,1.282
0.981,-0.117,-0.173,1.282,-2.625,1.953
0.986,-0.104,-0.172,1.343,-2.38,2.197
0.98,-0.097,-0.173,2.625,-2.502,2.075
0.986,-0.089,-0.163,5.432,-2.136,0.244
0.985,-0.081,-0.162,0.916,-0.488,1.77
0.975,-0.074,-0.18,-1.282,0.244,3.662
0.972,-0.074,-0.188,-0.305,-0.244,2.686
0.973,-0.085,-0.183,1.953,-2.686,-0.671
0.976,-0.101,-0.173,-2.258,-3.479,0.122
0.974,-0.11,-0.18,-4.028,-3.357,0.732
0.976,-0.111,-0.186,-1.709,-3.662,-0.732
0.986,-0.111,-0.175,4.517,-5.31,-4.211
0.99,-0.125,-0.148,1.343,-4.639,-3.174
0.866,2.192,-0.031,5.676,19.836,113.831
0.878,2.382,-0.089,-12.573,30.762,63.171
0.962,2.409,-0.223,-43.091,43.152,-50.903
0.954,2.055,-0.261,-59.387,39.978,-149.414
0.916,1.53,-0.184,-77.637,30.457,-218.689
0.797,1.179,-0.147,-90.21,23.865,-241.089
0.635,0.613,-0.063,-116.211,19.409,-259.827
0.48,-0.016,0.014,-134.644,34.607,-246.155
0.393,-0.361,0.002,-141.541,41.504,-234.741
0.167,-1.1,-0.105,-143.005,47.424,-210.815
0.18,-2.008,-0.363,-129.028,51.697,-161.072
0.23,-2.355,-0.516,-99.365,34.607,-69.702
0.427,-2.523,-0.698,-68.604,20.569,-11.963
0.315,-2.014,-0.547,3.174,-1.648,102.905
0.354,-1.405,-0.456,60.974,-18.25,165.527
0.419,-1.115,-0.409,86.426,-25.085,181.03
0.594,-0.55,-0.297,128.357,-31.738,198.547
0.756,-0.039,-0.164,143.738,-39.124,210.999
0.819,0.5,-0.041,137.817,-33.508,221.375
0.904,0.8,0.056,125.427,-21.667,224.487
0.905,1.503,0.054,74.158,8.85,208.923
0.904,1.812,-0.186,14.648,35.095,149.658
0.927,2.295,-0.353,-5.92,40.955,102.112
0.905,2.47,-0.557,-27.893,35.889,-24.475
0.903,2.351,-0.576,-36.316,24.658,-93.933
0.876,1.764,-0.491,-51.453,0.854,-206.177
0.798,1.072,-0.336,-58.044,-10.01,-263.428
0.786,0.738,-0.236,-67.566,-2.563,-273.254
0.711,0.14,-0.098,-82.336,6.897,-259.827
0.572,-0.399,-0.121,-115.051,30.457,-207.214
0.348,-0.958,-0.232,-121.826,50.11,-155.151
0.297,-1.31,-0.298,-112.549,56.702,-134.094
0.252,-1.912,-0.499,-82.581,46.143,-94.604
0.399,-2.233,-0.665,-34.18,17.883,-32.837
0.454,-1.924,-0.598,24.414,-14.282,55.237
0.459,-1.706,-0.499,49.622,-25.146,102.539
0.499,-1.137,-0.352,87.524,-40.222,170.227
0.646,-0.654,-0.201,112,-40.955,204.712
0.658,-0.273,-0.186,117.31,-44.312,207.336
0.809,0.295,-0.132,118.591,-36.072,212.83
0.903,0.923,-0.055,95.276,-14.587,206.055
0.96,1.51,-0.146,41.687,5.005,172.241
0.975,1.792,-0.258,15.381,14.038,142.029
0.969,2.112,-0.465,-15.747,22.4,52.795
0.958,2.08,-0.542,-29.968,14.099,-64.636
0.959,1.877,-0.531,-36.316,6.531,-119.446
0.922,1.319,-0.458,-50.293,-7.019,-196.106
0.844,0.724,-0.369,-65.613,-11.841,-226.562
0.767,0.179,-0.231,-82.397,-5.31,-217.773
0.716,-0.059,-0.203,-93.262,2.197,-201.05
0.601,-0.474,-0.208,-109.863,19.958,-157.104
0.47,-0.849,-0.277,-110.168,32.288,-117.615
0.391,-1.342,-0.348,-91.431,32.898,-82.825
0.386,-1.575,-0.386,-58.167,16.846,-45.898
0.471,-1.932,-0.468,-34.241,6.958,-21.484
0.551,-1.869,-0.459,22.766,-14.038,37.17
0.55,-1.415,-0.366,73.669,-28.381,108.459
0.566,-1.164,-0.322,90.759,-32.593,157.898
0.653,-0.682,-0.256,110.657,-37.17,173.34
0.742,-0.158,-0.189,119.934,-44.312,180.237
0.802,0.083,-0.165,121.948,-39.551,181.824
0.919,0.484,-0.104,120.85,-23.437,178.345
0.976,0.97,-0.093,100.891,-12.573,162.17
0.992,1.194,-0.122,82.886,-6.47,145.935
0.99,1.46,-0.255,45.776,6.042,94.055
0.985,1.464,-0.382,32.41,10.986,15.625
0.993,1.358,-0.403,35.4,7.751,-24.841
1.005,1.09,-0.356,38.33,-2.93,-85.022
1.001,0.93,-0.314,16.052,0,-106.506
0.95,0.617,-0.279,-3.174,1.953,-108.765
0.864,0.34,-0.304,-39.856,2.93,-107.666
0.823,0.208,-0.359,-58.167,4.7,-103.821
0.771,-0.032,-0.384,-58.228,7.629,-101.501
0.761,-0.236,-0.415,-49.316,11.353,-91.736
0.766,-0.37,-0.444,-38.147,5.371,-75.867
0.801,-0.449,-0.433,-30.212,-1.16,-49.988
0.811,-0.46,-0.423,-27.466,-5.127,-36.194
0.813,-0.395,-0.39,-17.944,-8.423,-11.658
0.832,-0.321,-0.355,-6.592,-8.423,2.563
0.84,-0.279,-0.348,13.672,-7.202,8.667
0.881,-0.206,-0.333,5.92,-6.714,9.583
0.919,-0.133,-0.316,10.559,-5.127,10.681
0.965,-0.082,-0.326,12.085,-6.165,11.414
0.964,-0.054,-0.332,12.146,-6.775,11.536
0.969,-0.002,-0.333,11.597,-6.836,10.681
0.98,0.041,-0.343,13.062,-5.859,7.202
0.987,0.054,-0.335,15.076,-5.066,4.761
0.98,0.063,-0.328,13.672,-1.77,1.953
0.977,0.069,-0.345,12.146,0.061,1.282
0.966,0.079,-0.377,14.282,1.831,-0.793
0.964,0.079,-0.366,17.456,1.526,-2.258
0.958,0.085,-0.364,15.442,1.465,-1.831
0.95,0.085,-0.371,9.521,1.648,-0.732
0.948,0.079,-0.369,6.836,1.038,-0.427
0.935,0.069,-0.367,2.136,0.183,-0.122
0.934,0.059,-0.351,1.587,-1.587,-0.916
